ANO_ELEICAO,SG_UF,SG_PARTIDO,DS_CARGO,eleitos,total_estado,coeficiente
1994,AP,PSD,DEPUTADO ESTADUAL,1,17,5.88
1994,AP,PT,DEPUTADO ESTADUAL,1,17,5.88
1994,AP,PTB,DEPUTADO ESTADUAL,2,17,11.76
1994,AP,PTB,DEPUTADO FEDERAL,1,8,12.5
1994,BA,DEM*,DEPUTADO ESTADUAL,19,63,30.16
1994,BA,DEM*,DEPUTADO FEDERAL,16,39,41.03
1994,BA,MDB*,DEPUTADO ESTADUAL,9,63,14.29
1994,BA,MDB*,DEPUTADO FEDERAL,6,39,15.38
1994,BA,MOBILIZA*,DEPUTADO ESTADUAL,1,63,1.59
1994,BA,PC DO B,DEPUTADO ESTADUAL,1,63,1.59
1994,BA,PC DO B,DEPUTADO FEDERAL,1,39,2.56
1994,BA,PDT,DEPUTADO ESTADUAL,4,63,6.35
1994,BA,PDT,DEPUTADO FEDERAL,3,39,7.69
1994,BA,PL*,DEPUTADO ESTADUAL,7,63,11.11
1994,BA,PL*,DEPUTADO FEDERAL,2,39,5.13
1994,BA,PP*,DEPUTADO ESTADUAL,3,63,4.76
1994,BA,PP*,DEPUTADO FEDERAL,1,39,2.56
1994,BA,PPR,DEPUTADO ESTADUAL,2,63,3.17
1994,BA,PPR,DEPUTADO FEDERAL,1,39,2.56
1994,BA,PSB,DEPUTADO ESTADUAL,1,63,1.59
1994,BA,PSB,DEPUTADO FEDERAL,2,39,5.13
1994,BA,PSDB,DEPUTADO ESTADUAL,7,63,11.11
1994,BA,PSDB,DEPUTADO FEDERAL,4,39,10.26
1994,BA,PT,DEPUTADO ESTADUAL,5,63,7.94
1994,BA,PT,DEPUTADO FEDERAL,2,39,5.13
1994,BA,PTB,DEPUTADO ESTADUAL,4,63,6.35
1994,BA,PTB,DEPUTADO FEDERAL,1,39,2.56
1994,CE,DEM*,DEPUTADO ESTADUAL,2,46,4.35
1994,CE,DEM*,DEPUTADO FEDERAL,2,22,9.09
1994,CE,MDB*,DEPUTADO ESTADUAL,5,46,10.87
1994,CE,MDB*,DEPUTADO FEDERAL,5,22,22.73
1994,CE,PC DO B,DEPUTADO FEDERAL,1,22,4.55
1994,CE,PDT,DEPUTADO ESTADUAL,4,46,8.7
1994,CE,PL*,DEPUTADO ESTADUAL,3,46,6.52
1994,CE,PP*,DEPUTADO FEDERAL,2,22,9.09
1994,CE,PPR,DEPUTADO ESTADUAL,4,46,8.7
1994,CE,PSB,DEPUTADO ESTADUAL,1,46,2.17
1994,CE,PSC,DEPUTADO ESTADUAL,2,46,4.35
1994,CE,PSD,DEPUTADO ESTADUAL,1,46,2.17
1994,CE,PSDB,DEPUTADO ESTADUAL,20,46,43.48
1994,CE,PSDB,DEPUTADO FEDERAL,11,22,50.0
1994,CE,PT,DEPUTADO ESTADUAL,3,46,6.52
1994,CE,PT,DEPUTADO FEDERAL,1,22,4.55
1994,CE,PTB,DEPUTADO ESTADUAL,1,46,2.17
1994,DF,CIDADANIA*,DEPUTADO ESTADUAL,1,24,4.17
1994,DF,CIDADANIA*,DEPUTADO FEDERAL,1,8,12.5
1994,DF,DEM*,DEPUTADO ESTADUAL,1,24,4.17
1994,DF,DEM*,DEPUTADO FEDERAL,1,8,12.5
1994,DF,MDB*,DEPUTADO ESTADUAL,1,24,4.17
1994,DF,PC DO B,DEPUTADO FEDERAL,1,8,12.5
1994,DF,PDT,DEPUTADO ESTADUAL,2,24,8.33
1994,DF,PL*,DEPUTADO ESTADUAL,1,24,4.17
1994,DF,PP*,DEPUTADO ESTADUAL,7,24,29.17
1994,DF,PP*,DEPUTADO FEDERAL,3,8,37.5
1994,DF,PSDB,DEPUTADO ESTADUAL,2,24,8.33
1994,DF,PT,DEPUTADO ESTADUAL,7,24,29.17
1994,DF,PT,DEPUTADO FEDERAL,2,8,25.0
1994,DF,PTB,DEPUTADO ESTADUAL,1,24,4.17
1994,DF,PTC*,DEPUTADO ESTADUAL,1,24,4.17
1994,ES,DEM*,DEPUTADO ESTADUAL,2,30,6.67
1994,ES,MDB*,DEPUTADO ESTADUAL,4,30,13.33
1994,ES,MDB*,DEPUTADO FEDERAL,3,10,30.0
1994,ES,MOBILIZA*,DEPUTADO ESTADUAL,1,30,3.33
1994,ES,PDT,DEPUTADO ESTADUAL,4,30,13.33
1994,ES,PDT,DEPUTADO FEDERAL,2,10,20.0
1994,ES,PL*,DEPUTADO ESTADUAL,1,30,3.33
1994,ES,PPR,DEPUTADO ESTADUAL,4,30,13.33
1994,ES,PSB,DEPUTADO ESTADUAL,2,30,6.67
1994,ES,PSB,DEPUTADO FEDERAL,1,10,10.0
1994,ES,PSDB,DEPUTADO ESTADUAL,4,30,13.33
1994,ES,PSDB,DEPUTADO FEDERAL,2,10,20.0
1994,ES,PT,DEPUTADO ESTADUAL,4,30,13.33
1994,ES,PT,DEPUTADO FEDERAL,1,10,10.0
1994,ES,PTB,DEPUTADO ESTADUAL,4,30,13.33
1994,ES,PTB,DEPUTADO FEDERAL,1,10,10.0
1994,GO,DEM*,DEPUTADO ESTADUAL,4,41,9.76
1994,GO,DEM*,DEPUTADO FEDERAL,1,17,5.88
1994,GO,MDB*,DEPUTADO ESTADUAL,11,41,26.83
1994,GO,MDB*,DEPUTADO FEDERAL,7,17,41.18
1994,GO,PC DO B,DEPUTADO ESTADUAL,1,41,2.44
1994,GO,PC DO B,DEPUTADO FEDERAL,1,17,5.88
1994,GO,PL*,DEPUTADO ESTADUAL,5,41,12.2
1994,GO,PP*,DEPUTADO ESTADUAL,3,41,7.32
1994,GO,PP*,DEPUTADO FEDERAL,2,17,11.76
1994,GO,PPR,DEPUTADO ESTADUAL,4,41,9.76
1994,GO,PPR,DEPUTADO FEDERAL,2,17,11.76
1994,GO,PSD,DEPUTADO ESTADUAL,5,41,12.2
1994,GO,PSDB,DEPUTADO ESTADUAL,4,41,9.76
1994,GO,PSDB,DEPUTADO FEDERAL,1,17,5.88
1994,GO,PT,DEPUTADO ESTADUAL,3,41,7.32
1994,GO,PT,DEPUTADO FEDERAL,1,17,5.88
1994,GO,PTB,DEPUTADO ESTADUAL,1,41,2.44
1994,GO,PTB,DEPUTADO FEDERAL,1,17,5.88
1994,GO,PTC*,DEPUTADO FEDERAL,1,17,5.88
1994,MA,DEM*,DEPUTADO ESTADUAL,10,42,23.81
1994,MA,DEM*,DEPUTADO FEDERAL,7,18,38.89
1994,MA,MDB*,DEPUTADO ESTADUAL,4,42,9.52
1994,MA,MDB*,DEPUTADO FEDERAL,5,18,27.78
1994,MA,PDT,DEPUTADO ESTADUAL,3,42,7.14
1994,MA,PDT,DEPUTADO FEDERAL,1,18,5.56
1994,MA,PP*,DEPUTADO ESTADUAL,2,42,4.76
1994,MA,PPR,DEPUTADO ESTADUAL,5,42,11.9
1994,MA,PRP,DEPUTADO ESTADUAL,3,42,7.14
1994,MA,PRTB*,DEPUTADO ESTADUAL,1,42,2.38
1994,MA,PSC,DEPUTADO ESTADUAL,3,42,7.14
1994,MA,PSC,DEPUTADO FEDERAL,1,18,5.56
1994,MA,PSD,DEPUTADO ESTADUAL,6,42,14.29
1994,MA,PSDB,DEPUTADO FEDERAL,2,18,11.11
1994,MA,PT,DEPUTADO ESTADUAL,1,42,2.38
1994,MA,PT,DEPUTADO FEDERAL,2,18,11.11
1994,MA,PTB,DEPUTADO ESTADUAL,4,42,9.52
1994,MG,CIDADANIA*,DEPUTADO ESTADUAL,1,77,1.3
1994,MG,DEM*,DEPUTADO ESTADUAL,9,77,11.69
1994,MG,DEM*,DEPUTADO FEDERAL,10,53,18.87
1994,MG,MDB*,DEPUTADO ESTADUAL,13,77,16.88
1994,MG,MDB*,DEPUTADO FEDERAL,11,53,20.75
1994,MG,MOBILIZA*,DEPUTADO ESTADUAL,1,77,1.3
1994,MG,MOBILIZA*,DEPUTADO FEDERAL,1,53,1.89
1994,MG,PC DO B,DEPUTADO FEDERAL,1,53,1.89
1994,MG,PDT,DEPUTADO ESTADUAL,7,77,9.09
1994,MG,PDT,DEPUTADO FEDERAL,1,53,1.89
1994,MG,PL*,DEPUTADO ESTADUAL,4,77,5.19
1994,MG,PL*,DEPUTADO FEDERAL,1,53,1.89
1994,MG,PP*,DEPUTADO ESTADUAL,11,77,14.29
1994,MG,PP*,DEPUTADO FEDERAL,6,53,11.32
1994,MG,PPR,DEPUTADO ESTADUAL,1,77,1.3
1994,MG,PPR,DEPUTADO FEDERAL,1,53,1.89
1994,MG,PSB,DEPUTADO ESTADUAL,1,77,1.3
1994,MG,PSD,DEPUTADO ESTADUAL,2,77,2.6
1994,MG,PSDB,DEPUTADO ESTADUAL,8,77,10.39
1994,MG,PSDB,DEPUTADO FEDERAL,8,53,15.09
1994,MG,PT,DEPUTADO ESTADUAL,8,77,10.39
1994,MG,PT,DEPUTADO FEDERAL,6,53,11.32
1994,MG,PTB,DEPUTADO ESTADUAL,10,77,12.99
1994,MG,PTB,DEPUTADO FEDERAL,7,53,13.21
1994,MG,PV,DEPUTADO ESTADUAL,1,77,1.3
1994,MS,DEM*,DEPUTADO ESTADUAL,4,24,16.67
1994,MS,DEM*,DEPUTADO FEDERAL,1,8,12.5
1994,MS,MDB*,DEPUTADO ESTADUAL,5,24,20.83
1994,MS,MDB*,DEPUTADO FEDERAL,3,8,37.5
1994,MS,PDT,DEPUTADO ESTADUAL,2,24,8.33
1994,MS,PDT,DEPUTADO FEDERAL,1,8,12.5
1994,MS,PL*,DEPUTADO ESTADUAL,1,24,4.17
1994,MS,PP*,DEPUTADO ESTADUAL,3,24,12.5
1994,MS,PP*,DEPUTADO FEDERAL,1,8,12.5
1994,MS,PSDB,DEPUTADO ESTADUAL,2,24,8.33
1994,MS,PSDB,DEPUTADO FEDERAL,1,8,12.5
1994,MS,PT,DEPUTADO ESTADUAL,3,24,12.5
1994,MS,PTB,DEPUTADO ESTADUAL,4,24,16.67
1994,MS,PTB,DEPUTADO FEDERAL,1,8,12.5
1994,MT,DEM*,DEPUTADO ESTADUAL,6,24,25.0
1994,MT,MDB*,DEPUTADO ESTADUAL,3,24,12.5
1994,MT,MDB*,DEPUTADO FEDERAL,1,8,12.5
1994,MT,MOBILIZA*,DEPUTADO ESTADUAL,2,24,8.33
1994,MT,PDT,DEPUTADO ESTADUAL,4,24,16.67
1994,MT,PDT,DEPUTADO FEDERAL,1,8,12.5
1994,MT,PL*,DEPUTADO ESTADUAL,4,24,16.67
1994,MT,PL*,DEPUTADO FEDERAL,1,8,12.5
1994,MT,PPR,DEPUTADO ESTADUAL,1,24,4.17
1994,MT,PPR,DEPUTADO FEDERAL,1,8,12.5
1994,MT,PSB,DEPUTADO ESTADUAL,1,24,4.17
1994,MT,PSDB,DEPUTADO ESTADUAL,2,24,8.33
1994,MT,PSDB,DEPUTADO FEDERAL,1,8,12.5
1994,MT,PT,DEPUTADO ESTADUAL,1,24,4.17
1994,MT,PT,DEPUTADO FEDERAL,1,8,12.5
1994,MT,PTB,DEPUTADO FEDERAL,2,8,25.0
1994,PA,DEM*,DEPUTADO ESTADUAL,3,41,7.32
1994,PA,DEM*,DEPUTADO FEDERAL,1,17,5.88
1994,PA,MDB*,DEPUTADO ESTADUAL,13,41,31.71
1994,PA,MDB*,DEPUTADO FEDERAL,7,17,41.18
1994,PA,PC DO B,DEPUTADO FEDERAL,1,17,5.88
1994,PA,PDT,DEPUTADO ESTADUAL,3,41,7.32
1994,PA,PDT,DEPUTADO FEDERAL,1,17,5.88
1994,PA,PL*,DEPUTADO ESTADUAL,3,41,7.32
1994,PA,PP*,DEPUTADO ESTADUAL,3,41,7.32
1994,PA,PPR,DEPUTADO ESTADUAL,8,41,19.51
1994,PA,PPR,DEPUTADO FEDERAL,4,17,23.53
1994,PA,PSDB,DEPUTADO ESTADUAL,2,41,4.88
1994,PA,PT,DEPUTADO ESTADUAL,4,41,9.76
1994,PA,PT,DEPUTADO FEDERAL,2,17,11.76
1994,PA,PTB,DEPUTADO ESTADUAL,2,41,4.88
1994,PA,PTB,DEPUTADO FEDERAL,1,17,5.88
1994,PB,DEM*,DEPUTADO ESTADUAL,5,36,13.89
1994,PB,DEM*,DEPUTADO FEDERAL,3,12,25.0
1994,PB,MDB*,DEPUTADO ESTADUAL,19,36,52.78
1994,PB,MDB*,DEPUTADO FEDERAL,7,12,58.33
1994,PB,PDT,DEPUTADO ESTADUAL,7,36,19.44
1994,PB,PDT,DEPUTADO FEDERAL,1,12,8.33
1994,PB,PP*,DEPUTADO ESTADUAL,1,36,2.78
1994,PB,PPR,DEPUTADO FEDERAL,1,12,8.33
1994,PB,PT,DEPUTADO ESTADUAL,3,36,8.33
1994,PB,PV,DEPUTADO ESTADUAL,1,36,2.78
1994,PE,DEM*,DEPUTADO ESTADUAL,17,49,34.69
1994,PE,DEM*,DEPUTADO FEDERAL,11,25,44.0
1994,PE,MDB*,DEPUTADO ESTADUAL,5,49,10.2
1994,PE,MOBILIZA*,DEPUTADO FEDERAL,1,25,4.0
1994,PE,PDT,DEPUTADO ESTADUAL,4,49,8.16
1994,PE,PDT,DEPUTADO FEDERAL,2,25,8.0
1994,PE,PL*,DEPUTADO ESTADUAL,2,49,4.08
1994,PE,PP*,DEPUTADO FEDERAL,1,25,4.0
1994,PE,PSB,DEPUTADO ESTADUAL,16,49,32.65
1994,PE,PSB,DEPUTADO FEDERAL,7,25,28.0
1994,PE,PSDB,DEPUTADO ESTADUAL,2,49,4.08
1994,PE,PSDB,DEPUTADO FEDERAL,1,25,4.0
1994,PE,PT,DEPUTADO ESTADUAL,2,49,4.08
1994,PE,PT,DEPUTADO FEDERAL,2,25,8.0
1994,PE,PTB,DEPUTADO ESTADUAL,1,49,2.04
1994,PI,DEM*,DEPUTADO ESTADUAL,14,30,46.67
1994,PI,DEM*,DEPUTADO FEDERAL,5,10,50.0
1994,PI,MDB*,DEPUTADO ESTADUAL,5,30,16.67
1994,PI,MDB*,DEPUTADO FEDERAL,2,10,20.0
1994,PI,PL*,DEPUTADO ESTADUAL,1,30,3.33
1994,PI,PP*,DEPUTADO FEDERAL,1,10,10.0
1994,PI,PPR,DEPUTADO ESTADUAL,6,30,20.0
1994,PI,PPR,DEPUTADO FEDERAL,2,10,20.0
1994,PI,PSDB,DEPUTADO ESTADUAL,1,30,3.33
1994,PI,PT,DEPUTADO ESTADUAL,2,30,6.67
1994,PI,PTB,DEPUTADO ESTADUAL,1,30,3.33
1994,PR,DEM*,DEPUTADO ESTADUAL,6,54,11.11
1994,PR,DEM*,DEPUTADO FEDERAL,6,30,20.0
1994,PR,MDB*,DEPUTADO ESTADUAL,12,54,22.22
1994,PR,MDB*,DEPUTADO FEDERAL,4,30,13.33
1994,PR,PC DO B,DEPUTADO FEDERAL,1,30,3.33
1994,PR,PDT,DEPUTADO ESTADUAL,9,54,16.67
1994,PR,PDT,DEPUTADO FEDERAL,3,30,10.0
1994,PR,PP*,DEPUTADO ESTADUAL,10,54,18.52
1994,PR,PP*,DEPUTADO FEDERAL,6,30,20.0
1994,PR,PPR,DEPUTADO ESTADUAL,2,54,3.7
1994,PR,PPR,DEPUTADO FEDERAL,2,30,6.67
1994,PR,PSC,DEPUTADO ESTADUAL,1,54,1.85
1994,PR,PSDB,DEPUTADO ESTADUAL,3,54,5.56
1994,PR,PSDB,DEPUTADO FEDERAL,1,30,3.33
1994,PR,PT,DEPUTADO ESTADUAL,5,54,9.26
1994,PR,PT,DEPUTADO FEDERAL,3,30,10.0
1994,PR,PTB,DEPUTADO ESTADUAL,6,54,11.11
1994,PR,PTB,DEPUTADO FEDERAL,4,30,13.33
1994,RJ,CIDADANIA*,DEPUTADO ESTADUAL,1,70,1.43
1994,RJ,CIDADANIA*,DEPUTADO FEDERAL,1,46,2.17
1994,RJ,DEM*,DEPUTADO ESTADUAL,2,70,2.86
1994,RJ,DEM*,DEPUTADO FEDERAL,4,46,8.7
1994,RJ,MDB*,DEPUTADO ESTADUAL,7,70,10.0
1994,RJ,MDB*,DEPUTADO FEDERAL,4,46,8.7
1994,RJ,MOBILIZA*,DEPUTADO ESTADUAL,2,70,2.86
1994,RJ,PC DO B,DEPUTADO ESTADUAL,1,70,1.43
1994,RJ,PC DO B,DEPUTADO FEDERAL,2,46,4.35
1994,RJ,PDT,DEPUTADO ESTADUAL,12,70,17.14
1994,RJ,PDT,DEPUTADO FEDERAL,8,46,17.39
1994,RJ,PL*,DEPUTADO ESTADUAL,4,70,5.71
1994,RJ,PL*,DEPUTADO FEDERAL,3,46,6.52
1994,RJ,PP*,DEPUTADO ESTADUAL,4,70,5.71
1994,RJ,PP*,DEPUTADO FEDERAL,3,46,6.52
1994,RJ,PPR,DEPUTADO ESTADUAL,6,70,8.57
1994,RJ,PPR,DEPUTADO FEDERAL,6,46,13.04
1994,RJ,PRONA,DEPUTADO ESTADUAL,2,70,2.86
1994,RJ,PSB,DEPUTADO ESTADUAL,3,70,4.29
1994,RJ,PSB,DEPUTADO FEDERAL,2,46,4.35
1994,RJ,PSC,DEPUTADO ESTADUAL,3,70,4.29
1994,RJ,PSD,DEPUTADO ESTADUAL,1,70,1.43
1994,RJ,PSDB,DEPUTADO ESTADUAL,14,70,20.0
1994,RJ,PSDB,DEPUTADO FEDERAL,6,46,13.04
1994,RJ,PT,DEPUTADO ESTADUAL,5,70,7.14
1994,RJ,PT,DEPUTADO FEDERAL,3,46,6.52
1994,RJ,PTB,DEPUTADO ESTADUAL,2,70,2.86
1994,RJ,PTB,DEPUTADO FEDERAL,3,46,6.52
1994,RJ,PV,DEPUTADO ESTADUAL,1,70,1.43
1994,RJ,PV,DEPUTADO FEDERAL,1,46,2.17
1994,RN,DEM*,DEPUTADO ESTADUAL,10,24,41.67
1994,RN,DEM*,DEPUTADO FEDERAL,5,8,62.5
1994,RN,MDB*,DEPUTADO ESTADUAL,8,24,33.33
1994,RN,MDB*,DEPUTADO FEDERAL,2,8,25.0
1994,RN,PDT,DEPUTADO ESTADUAL,1,24,4.17
1994,RN,PL*,DEPUTADO ESTADUAL,2,24,8.33
1994,RN,PPR,DEPUTADO ESTADUAL,1,24,4.17
1994,RN,PSDB,DEPUTADO ESTADUAL,1,24,4.17
1994,RN,PSDB,DEPUTADO FEDERAL,1,8,12.5
1994,RN,PT,DEPUTADO ESTADUAL,1,24,4.17
1994,RO,DEM*,DEPUTADO ESTADUAL,2,24,8.33
1994,RO,MDB*,DEPUTADO ESTADUAL,4,24,16.67
1994,RO,MDB*,DEPUTADO FEDERAL,1,8,12.5
1994,RO,MOBILIZA*,DEPUTADO ESTADUAL,4,24,16.67
1994,RO,PDT,DEPUTADO ESTADUAL,3,24,12.5
1994,RO,PDT,DEPUTADO FEDERAL,1,8,12.5
1994,RO,PL*,DEPUTADO ESTADUAL,2,24,8.33
1994,RO,PL*,DEPUTADO FEDERAL,1,8,12.5
1994,RO,PP*,DEPUTADO FEDERAL,2,8,25.0
1994,RO,PSC,DEPUTADO ESTADUAL,2,24,8.33
1994,RO,PSDB,DEPUTADO ESTADUAL,2,24,8.33
1994,RO,PSDB,DEPUTADO FEDERAL,3,8,37.5
1994,RO,PT,DEPUTADO ESTADUAL,2,24,8.33
1994,RO,PTB,DEPUTADO ESTADUAL,2,24,8.33
1994,RO,PTC*,DEPUTADO ESTADUAL,1,24,4.17
1994,RR,DEM*,DEPUTADO ESTADUAL,1,17,5.88
1994,RR,DEM*,DEPUTADO FEDERAL,1,8,12.5
1994,RR,MDB*,DEPUTADO ESTADUAL,1,17,5.88
1994,RR,PP*,DEPUTADO ESTADUAL,1,17,5.88
1994,RR,PPR,DEPUTADO ESTADUAL,4,17,23.53
1994,RR,PPR,DEPUTADO FEDERAL,1,8,12.5
1994,RR,PSC,DEPUTADO ESTADUAL,2,17,11.76
1994,RR,PSC,DEPUTADO FEDERAL,1,8,12.5
1994,RR,PSD,DEPUTADO ESTADUAL,1,17,5.88
1994,RR,PSDB,DEPUTADO ESTADUAL,2,17,11.76
1994,RR,PSDB,DEPUTADO FEDERAL,1,8,12.5
1994,RR,PTB,DEPUTADO ESTADUAL,5,17,29.41
1994,RR,PTB,DEPUTADO FEDERAL,4,8,50.0
1994,RS,DEM*,DEPUTADO ESTADUAL,1,55,1.82
1994,RS,DEM*,DEPUTADO FEDERAL,1,31,3.23
1994,RS,MDB*,DEPUTADO ESTADUAL,10,55,18.18
1994,RS,MDB*,DEPUTADO FEDERAL,8,31,25.81
1994,RS,PC DO B,DEPUTADO ESTADUAL,1,55,1.82
1994,RS,PDT,DEPUTADO ESTADUAL,9,55,16.36
1994,RS,PDT,DEPUTADO FEDERAL,5,31,16.13
1994,RS,PL*,DEPUTADO ESTADUAL,1,55,1.82
1994,RS,PPR,DEPUTADO ESTADUAL,13,55,23.64
1994,RS,PPR,DEPUTADO FEDERAL,6,31,19.35
1994,RS,PSB,DEPUTADO ESTADUAL,3,55,5.45
1994,RS,PSDB,DEPUTADO ESTADUAL,1,55,1.82
1994,RS,PSDB,DEPUTADO FEDERAL,2,31,6.45
1994,RS,PT,DEPUTADO ESTADUAL,6,55,10.91
1994,RS,PT,DEPUTADO FEDERAL,7,31,22.58
1994,RS,PTB,DEPUTADO ESTADUAL,10,55,18.18
1994,RS,PTB,DEPUTADO FEDERAL,2,31,6.45
1994,SC,DEM*,DEPUTADO ESTADUAL,6,40,15.0
1994,SC,DEM*,DEPUTADO FEDERAL,3,16,18.75
1994,SC,MDB*,DEPUTADO ESTADUAL,10,40,25.0
1994,SC,MDB*,DEPUTADO FEDERAL,5,16,31.25
1994,SC,PDT,DEPUTADO ESTADUAL,3,40,7.5
1994,SC,PDT,DEPUTADO FEDERAL,2,16,12.5
1994,SC,PL*,DEPUTADO ESTADUAL,1,40,2.5
1994,SC,PPR,DEPUTADO ESTADUAL,14,40,35.0
1994,SC,PPR,DEPUTADO FEDERAL,4,16,25.0
1994,SC,PSDB,DEPUTADO ESTADUAL,1,40,2.5
1994,SC,PT,DEPUTADO ESTADUAL,5,40,12.5
1994,SC,PT,DEPUTADO FEDERAL,2,16,12.5
1994,SE,DEM*,DEPUTADO ESTADUAL,7,24,29.17
1994,SE,DEM*,DEPUTADO FEDERAL,1,8,12.5
1994,SE,MDB*,DEPUTADO ESTADUAL,4,24,16.67
1994,SE,MDB*,DEPUTADO FEDERAL,2,8,25.0
1994,SE,MOBILIZA*,DEPUTADO ESTADUAL,2,24,8.33
1994,SE,MOBILIZA*,DEPUTADO FEDERAL,2,8,25.0
1994,SE,PDT,DEPUTADO ESTADUAL,1,24,4.17
1994,SE,PP*,DEPUTADO ESTADUAL,2,24,8.33
1994,SE,PPR,DEPUTADO ESTADUAL,4,24,16.67
1994,SE,PPR,DEPUTADO FEDERAL,2,8,25.0
1994,SE,PSDB,DEPUTADO ESTADUAL,1,24,4.17
1994,SE,PT,DEPUTADO ESTADUAL,2,24,8.33
1994,SE,PT,DEPUTADO FEDERAL,1,8,12.5
1994,SE,PTB,DEPUTADO ESTADUAL,1,24,4.17
1994,SP,DEM*,DEPUTADO ESTADUAL,5,94,5.32
1994,SP,DEM*,DEPUTADO FEDERAL,3,70,4.29
1994,SP,MDB*,DEPUTADO ESTADUAL,23,94,24.47
1994,SP,MDB*,DEPUTADO FEDERAL,14,70,20.0
1994,SP,PC DO B,DEPUTADO ESTADUAL,2,94,2.13
1994,SP,PC DO B,DEPUTADO FEDERAL,1,70,1.43
1994,SP,PDT,DEPUTADO ESTADUAL,3,94,3.19
1994,SP,PDT,DEPUTADO FEDERAL,2,70,2.86
1994,SP,PL*,DEPUTADO ESTADUAL,5,94,5.32
1994,SP,PL*,DEPUTADO FEDERAL,5,70,7.14
1994,SP,PP*,DEPUTADO FEDERAL,1,70,1.43
1994,SP,PPR,DEPUTADO ESTADUAL,9,94,9.57
1994,SP,PPR,DEPUTADO FEDERAL,8,70,11.43
1994,SP,PRONA,DEPUTADO ESTADUAL,1,94,1.06
1994,SP,PRP,DEPUTADO ESTADUAL,2,94,2.13
1994,SP,PRP,DEPUTADO FEDERAL,1,70,1.43
1994,SP,PSB,DEPUTADO ESTADUAL,1,94,1.06
1994,SP,PSB,DEPUTADO FEDERAL,1,70,1.43
1994,SP,PSD,DEPUTADO ESTADUAL,2,94,2.13
1994,SP,PSD,DEPUTADO FEDERAL,2,70,2.86
