ANO_ELEICAO;SG_UF;SG_PARTIDO;DS_CARGO;DS_SIT_TOT_TURNO
2018;CE;REPUBLICANOS*;DEPUTADO ESTADUAL;1
2018;CE;SOLIDARIEDADE*;DEPUTADO ESTADUAL;2
2022;CE;AVANTE*;DEPUTADO ESTADUAL;1
2022;CE;CIDADANIA*;DEPUTADO ESTADUAL;1
2022;CE;MDB*;DEPUTADO ESTADUAL;3
2022;CE;MOBILIZA*;DEPUTADO ESTADUAL;1
2022;CE;PC DO B;DEPUTADO ESTADUAL;1
2022;CE;PDT;DEPUTADO ESTADUAL;13
2022;CE;PL*;DEPUTADO ESTADUAL;4
2022;CE;PP*;DEPUTADO ESTADUAL;3
2022;CE;PSD;DEPUTADO ESTADUAL;3
2022;CE;PSDB;DEPUTADO ESTADUAL;1
2022;CE;PSOL;DEPUTADO ESTADUAL;1
2022;CE;PT;DEPUTADO ESTADUAL;8
2022;CE;REPUBLICANOS*;DEPUTADO ESTADUAL;2
2022;CE;UNIÃO;DEPUTADO ESTADUAL;4
